nombre,descripcion,calorias,proteinas,grasas,carbohidratos,categoria,beneficios,imagen_url,
Piñón  , Semilla pequeña y suave de sabor a nuez.,568,"29,6 ",47.8,5,frutos secos,"Rica en hierro, zinc y grasas saludables, mejora la energía.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638199/q8m3pksb7pi0t0aafjub.jpg,
Pistacho  ,Fruto seco con textura crujiente y sabor dulce y salado.,600,0,49,0,frutos secos,"Alto en proteínas y grasas saludables, ideal para el corazón.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638189/dm8boqy4c1ycscceouxm.png,
Uva Pasa ,Uva deshidratada dulce y rica en azúcares naturales.,301,"1,9 ",0.6,72,frutos secos,"Rico en azúcares naturales, fuente rápida de energía.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638184/fuirjq21vr53vwxwrsqz.jpg,
Ajo ,Bulbo con sabor intenso utilizado como condimento en la cocina.,124,6,0.1,"26,3 ",verduras/hortalizas,"Propiedades antibacterianas, mejora la digestión y refuerza el sistema inmunológico.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638686/svhwdiyzfch6pmy6plkb.jpg,
Alcachofa ,Flor comestible con sabor suave y ligeramente amargo.,17,"1,4 ",0.2,"2,3 ",verduras/hortalizas,"Rica en fibra, mejora la digestión y ayuda a controlar el colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638683/g6nc0ohzyd616mk52iph.jpg,
Apio ,Vegetal de tallo largo y crujiente con sabor refrescante.,22,"2,3 ",0.2,"2,4 ",verduras/hortalizas,"Rico en fibra, ayuda a la digestión y regula el azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638681/m0e8xvgztdyao6kvfo9y.jpg,
Berenjena ,Fruto de color morado con textura suave y sabor neutro.,16,"1,1 ",0.1,"2,6 ",verduras/hortalizas,"Bajo en calorías, alto en antioxidantes y ayuda a la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638678/mzlthsrjxgutdftbhnxh.jpg,
Berro ,Hoja verde con sabor picante y fresco.,"13,2 ","2,4 ",0.2,"1,6 ",verduras/hortalizas,"Rico en vitamina C, ayuda a la circulación y a reducir la inflamación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638675/clmmfopzsc6adhanfkjr.jpg,
Brécol ,Vegetal crucífero de cabezas verdes compactas.,31,"3,3 ",0.2,4,verduras/hortalizas,"Rico en vitamina C y antioxidantes, combate el envejecimiento celular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638673/qhbsscv2dyxz8ds9zpov.jpg,
Calabacín ,"Fruto de piel fina y carne firme, bajo en calorías.",12,"1,3 ",0.1,"1,4 ",verduras/hortalizas,"Bajo en calorías, alto en vitamina C y promueve la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638670/ptdbqlb94kuyc5rudmfk.jpg,
Calabaza ,Fruto naranja con pulpa dulce y textura suave.,18,"1,1 ",0.1,"3,5 ",verduras/hortalizas,Ayuda a regular la presión arterial y es rico en antioxidantes.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638668/lw3oinf2qnywjvpmdtlp.jpg,
Cardo ,Tallo comestible con textura fibrosa y sabor suave.,10,"0,6 ",0.1,"1,7 ",verduras/hortalizas,"Propiedades digestivas y antiinflamatorias, mejora la salud intestinal.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638665/buvsc9b6zqsh8burf7nt.jpg,
Cebolla ,Bulbo de sabor dulce y textura crujiente.,24,1,0,"5,2 ",verduras/hortalizas,"Ayuda a controlar el colesterol, es rico en antioxidantes y mejora la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638663/eeyohqabuitsp5cz44it.jpg,
Col lombarda  ,Hoja verde púrpura con sabor suave y textura firme.,20,"1,9 ",0.2,"3,4 ",verduras/hortalizas,"Rico en antioxidantes, protege la vista y mejora la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638660/yklgr0whyui6xvqp4kvs.jpg,
Coles de Bruselas ,Pequeñas cabezas verdes de sabor ligeramente amargo.,31,"4,2 ",0.5,"4,3 ",verduras/hortalizas,"Ayuda a reducir el riesgo de enfermedades cardíacas, contiene fibra.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638658/i9txzb3jl7qu3zap34ff.jpg,
Coliflor ,Vegetal crucífero con sabor suave y textura tierna.,25,"3,2 ",0.2,"2,7 ",verduras/hortalizas,"Rica en antioxidantes, mejora la función digestiva y combate la inflamación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638655/mkdpeoyal4xvcjog6xay.jpg,
Espárrago ,Brote comestible de textura crujiente y sabor fresco.,27,"3,6 ",0.2,"2,9 ",verduras/hortalizas,"Rica en fibra, mejora la digestión y regula el azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638652/awtyxxjlmgdrjzetv8dp.jpg,
Espinaca ,Hoja verde rica en nutrientes con sabor suave.,31,"3,4 ",0.7,3,verduras/hortalizas,Ayuda a la salud ocular y combate los efectos del envejecimiento.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638650/td1tzm2dwemqnn625zfe.jpg,
Guisantes frescos  ,Legumbre verde con sabor dulce y textura crujiente.,70,7,0.2,"10,6 ",verduras/hortalizas,"Rico en vitamina A, mejora la piel y la vista.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638647/pqtlv7crwefqwjsxb7lk.jpg,
Haba fresca ,Legumbre con sabor dulce y textura firme.,52,"4,1 ",0.8,"7,7 ",verduras/hortalizas,Aumenta la inmunidad y mejora la salud digestiva.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638645/fylbwfz9japdjxybzq85.jpg,
Hinojo ,Tallo comestible con aroma anisado y sabor refrescante.,16,"0,5 ",0.3,"3,2 ",verduras/hortalizas,Ayuda a reducir la inflamación y mejora la digestión.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638642/qvenzguhhvjpw4le5vjh.jpg,
Lechuga ,Hoja verde ligera con sabor fresco y textura crujiente.,19,"1,8 ",0.3,"2,2 ",verduras/hortalizas,Mejora la función del sistema nervioso y la salud muscular.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638639/zn1lecasmjkngadmylze.jpg,
Nabo ,Raíz comestible de sabor suave y ligeramente dulce.,16,1,0.4,"3,3 ",verduras/hortalizas,"Rica en antioxidantes y fibra, mejora la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638637/slu5fmtpwbztcrgougii.jpg,
Patata ,Tubérculo de textura firme y sabor terroso.,80,"2,1 ",0.1,18,verduras/hortalizas,Ayuda a la regulación del azúcar en sangre y proporciona energía sostenida.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638634/nuvlr4aqyiys6hgjr5wz.jpg,
Pepino ,Fruto verde alargado con alto contenido de agua.,"10,4 ","0,7 ",0.1,2,verduras/hortalizas,Regula el sistema digestivo y proporciona nutrientes esenciales.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638632/bn4btg1k4wdnuue3wmu0.jpg,
Puerro ,Vegetal de tallo blanco y verde con sabor dulce y suave.,26,"2,1 ",0.1,6,verduras/hortalizas,"Rico en potasio y antioxidantes, favorece la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638629/irrwczngelvmn0xdyfgf.jpg,
Remolacha ,Raíz de color rojo con textura firme y sabor dulce.,42,"1,5 ",0.1,"8,2 ",verduras/hortalizas,"Ideal para dietas bajas en calorías, mejora la hidratación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638626/l9dpal6fxbxlcgjjj008.jpg,
Repollo ,Vegetal crucífero con sabor suave y textura firme.,19,"2,1 ",0.1,"2,5 ",verduras/hortalizas,"Mejora la digestión, combate la hinchazón y proporciona fibra.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638624/syrbaqc1purfxr7calqk.jpg,
Seta ,Hongo comestible con sabor umami y textura carnosa.,35,"4,6 ",0.4,"5,2 ",verduras/hortalizas,"Rico en antioxidantes y vitamina D, fortalece el sistema inmunológico.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638621/ciikqwaedtjqaamplnk8.jpg,
Tomate ,Fruto rojo de textura jugosa y sabor ligeramente ácido.,16,1,0.2,"2,9 ",verduras/hortalizas,"Rico en grasas saludables, mejora el colesterol y protege el corazón.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638568/gt8r4sklm3nsvszagr4p.jpg,
Trufa ,Hongo subterráneo con sabor fuerte y terroso.,30,6,0.5,"0,7 ",verduras/hortalizas,Aumenta la energía y mejora la salud digestiva.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638566/ldzmubsrxqrjvqsw2fav.jpg,
Zanahoria ,Raíz de color naranja con sabor dulce y textura crujiente.,37,1,0.2,"7,8 ",verduras/hortalizas,"Rico en ácidos grasos omega-3, beneficia la salud del corazón y el cerebro.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732638563/psqsvkgrsklczpns00s9.jpg,
Alubia (judía seca)  ,"Fruto seco de planta leguminosa, muy utilizado en sopas y guisos.",316,23,1.3,61,legumbres,"Rico en fibra y proteínas, ayuda a regular el colesterol y mejora la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642625/cu9s5tulzsqwmlayirvo.jpg,
Garbanzo ,"Leguminosa con sabor suave, usada en sopas, ensaladas y humus.",338,"21,8 ",4.9,"54,3 ",legumbres,"Alta fuente de proteínas y fibra, ayuda a controlar los niveles de azúcar en sangre y favorece la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642622/t54l0w8pilhavoubds1a.jpg,
Guisantes secos  ,"Semillas de guisante secas, muy nutritivas y ricas en proteína.",304,"21,7 ",2,"53,6 ",legumbres,"Rico en proteínas vegetales, bajo en grasas, ayuda a mantener la salud muscular y digestiva.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642620/xbn4bkipr9f9kmtmhx5w.jpg,
Haba seca ,"Leguminosa seca con un sabor fuerte, rica en fibra y proteínas.",304,27,2.4,"46,5 ",legumbres,"Fuente de proteínas, fibra y minerales, mejora la digestión y controla los niveles de colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642617/eticyklo8tcwytlaqs7r.jpg,
Lenteja ,"Pequeña legumbre rica en proteínas y fibra, ideal para sopas y guisos.",325,25,2.5,54,legumbres,"Rica en hierro, proteínas y fibra, ayuda a la digestión y regula el azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642614/xvvcvy0087fs0kud2f7o.jpg,
Arroz ,Grano básico utilizado para cocinar y acompañar muchos platos.,362,7,0.6,"87,6 ",cereales y derivados,"Fuente de energía rápida, rico en carbohidratos y fibra.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642612/kbjq0jq65bxepnwaz4xt.jpg,
Cebada ,"Grano entero utilizado en sopas y panes, rico en fibra.",373,"10,4 ",1.4,"82,3 ",cereales y derivados,"Rico en fibra, ayuda a regular el colesterol y mejora la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642609/mzwbtmb0is751hochsyv.jpg,
Centeno ,"Grano de cereal utilizado en panes, pasteles y otros productos.",350,"9,4 ",1,76,cereales y derivados,"Buen contenido de fibra, ayuda en la digestión y la regulación del azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642606/nufrsstipykhjjmuxzim.jpg,
Copos de Maiz ,"Cereal procesado en copos, usado en cereales para desayuno.",372,"7,6 ",1,"85,2 ",cereales y derivados,"Fácil de digerir, proporciona energía rápida y es bajo en grasas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642604/tcum1ivjah7tuial2gd7.jpg,
Harina Integral ,"Harina hecha de trigo integral, rica en fibra y nutrientes.",321,11,1.9,"69,7 ",cereales y derivados,"Alta en fibra, favorece la digestión y regula los niveles de azúcar en sangre.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642601/pldyourgpf0uwyycoqxn.jpg,
Galleta tipo María ,"Galleta crujiente de trigo, comúnmente usada para postres o acompañamientos.",409,"6,8 ",8.1,"82,3 ",cereales y derivados,"Rica en azúcares y grasas, proporciona energía rápida, pero debe consumirse con moderación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642599/uvvy9857ngbf5rbaawta.jpg,
Harina ,"Harina refinada de trigo, usada en panes y productos de repostería.",345,11,0.7,"73,6 ",cereales y derivados,"Fuente de carbohidratos, puede aportar energía, pero carece de nutrientes esenciales si se consume en exceso.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642596/iyeniaeyfq5nsskrjhgv.jpg,
Maíz ,Grano de cereal que se utiliza para hacer harina y tortillas.,363,"9,2 ",3.8,73,cereales y derivados,"Rico en carbohidratos y fibra, ayuda en la digestión y el control del colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642593/ss66xdwibqqpsziraaxi.jpg,
Pan Blanco ,"Pan hecho con harina blanca, comúnmente consumido en todo el mundo.",270,"8,1 ",0.5,64,cereales y derivados,"Bajo en grasas, fácil de digerir, ideal para dietas bajas en calorías.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642591/ila8pnfxx2sqieu6nhby.jpg,
Pan Integral ,"Pan hecho con harina integral, más nutritivo que el pan blanco.",230,9,1,"47,5 ",cereales y derivados,"Fuente de energía sostenida, ideal para dietas balanceadas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642588/qwyuaalermdfaeca0ixr.jpg,
Pan Tostado ,"Pan tostado de harina blanca, con textura crujiente.",420,"11,3 ",6,83,cereales y derivados,"Rica en carbohidratos complejos, ideal para una fuente de energía duradera.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642585/je8deggcmlkc20b7aeia.jpg,
Pasta al huevo ,"Pasta hecha con huevos, usada en diversos platos italianos.",368,19,0.2,"73,4 ",cereales y derivados,"Rico en proteínas y bajos en carbohidratos, ideal para dietas proteicas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642583/vjhcjvdjebtacir974z5.jpg,
Pasta de sémola ,"Pasta hecha de trigo dura, ideal para sopas o ensaladas.",336,13,0.3,"78,6 ",cereales y derivados,"Bajo en grasa, adecuado para personas con restricciones dietéticas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642580/pnuyjlg8ccpl2sxmjbkm.jpg,
Polenta (Harina de Maíz ,"Harina hecha de maíz, utilizada para hacer polenta o tortillas.",358,"8,7 ",2.7,"79,8 ",cereales y derivados,"Rica en carbohidratos y fibra, útil para la digestión y la regulación del colesterol.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642578/kzkn7pb7ytoiifqcl7ye.jpg,
Sémola ,Harina de trigo refinado usada en panadería.,361,"11,5 ",0.5,"77,6 ",cereales y derivados,"Fuente de energía rápida, ideal para platos calientes o como acompañante.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642575/dx0maidpdpmvztqaouws.jpg,
Tapioca ,"Alimento procesado a partir de yuca, muy utilizado en la cocina brasileña.",363,"0,6 ",0.2,"86,4 ",cereales y derivados,"Fácil de digerir, ideal para personas con sensibilidad digestiva.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642573/dd9szqcpzjqlhzjpb3l1.jpg,
Trigo duro ,"Grano de cereal usado para hacer pan, pasta y otros productos",361,13,2.9,"70,8 ",cereales y derivados,"Rico en carbohidratos, ideal para platos que requieren consistencia y energía duradera",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642570/yx0t8tl1356xfcesvkgw.jpg,
Aceite de oliva  ,"Aceite extraído de las aceitunas, usado principalmente para aderezos y cocción.",900,0,100,0,grasas,"Rico en grasas monoinsaturadas, ayuda a reducir el colesterol malo y mejora la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642567/yudzylchfjoyt6efdutn.jpg,
Aceite de semillas ,"Aceite vegetal extraído de semillas, comúnmente usado para freír y cocinar.",900,0,100,0,grasas,"Alto en grasas poliinsaturadas, ideal para cocinar a altas temperaturas y mejora la salud del corazón.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642565/tjlsasyd04xsleq1mn2b.jpg,
Mantequilla ,"Grasa derivada de la leche, usada para cocinar, untar o como ingrediente en repostería.",750,"0,6 ",83,"0,3 ",grasas,"Rica en grasas saturadas, proporciona energía, pero debe consumirse con moderación para evitar problemas de salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642562/ywosl94jyyb3vps0vek2.jpg,
Manteca de cerdo  ,"Grasa animal derivada del cerdo, utilizada en cocina tradicional.",891,"0,3 ",82.8,"0,2 ",grasas,"Fuente de grasas saturadas, ayuda a dar sabor y textura a los alimentos, pero se debe consumir con moderación.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642559/hptavtuwtkiv2ziykv50.jpg,
Margarina ,"Grasa vegetal procesada, comúnmente utilizada como sustituto de la mantequilla en la cocina",747,0,99,"0,3 ",grasas,"Contiene grasas trans, generalmente no recomendada debido a sus efectos negativos sobre la salud cardiovascular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732642558/njdhhketfv18hewbluud.jpg,
Leche entera ,"Leche completa, con mayor contenido de grasa que la leche semidesnatada o desnatada.",63,"3,2 ",3.7,"4,6 ",lacteos,"Rico en calcio y vitamina D, ideal para fortalecer los huesos y dientes.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643140/htlxnzghnq37owb8dvqm.jpg,
Leche semidesnatada ,"Leche con un porcentaje reducido de grasa, utilizada en dietas moderadas.",49,"3,5 ",1.8,5,lacteos,"Fuente de calcio y proteínas, ayuda a mantener la salud ósea y muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643137/d19e2kfctj1uddwsm8ab.jpg,
Leche desnatada ,"Leche sin grasa, ideal para personas que buscan reducir calorías y grasas.",33,"3,4 ",0.2,"4,7 ",lacteos,"Bajo en calorías, ideal para personas que buscan reducir grasa corporal.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643134/lkavbwtprho2wourbnkw.jpg,
Yogur entero ,"Yogur con alto contenido de grasa, generalmente cremoso y más denso en sabor.",61,"3,3 ",3.5,4,lacteos,"Rico en proteínas y calcio, ayuda al desarrollo muscular y la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643131/ngsbasys8eirpwtsvmig.jpg,
Yogur desnatado ,"Yogur bajo en grasa, ideal para dietas bajas en calorías.",36,"3,3 ",0.9,4,lacteos,"Bajo en calorías, beneficioso para mantener un peso saludable.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643128/hudpmxvzcortpfyzky8k.jpg,
Yogur con frutas  ,"Yogur con adición de frutas, generalmente dulce y con alto contenido de azúcares.",89,"2,8 ",3.3,"12,6 ",lacteos,Contiene probióticos que mejoran la digestión y la salud intestinal.,https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643126/tocpiknrhoied1d9mhxi.jpg,
Nata ,"Crema espesa de leche, rica en grasa, utilizada en salsas y postres.",337,"2,3 ",35,"3,4 ",lacteos,"Fuente de grasas saturadas, aporta energía rápida y mejora la textura de salsas y postres.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643123/drcxuid4ggepos4gvocg.jpg,
Brie ,"Queso cremoso de leche de vaca, con un sabor suave y textura blanda.",263,17,21,21,quesos,"Rico en calcio, vitamina B12 y proteínas, ideal para fortalecer los huesos.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643120/kp3qzspkfuzoe2qruusq.jpg,
Camembert ,"Queso blando de pasta suave y sabor cremoso, originario de Francia.",301,"20,5 ",25.7,"25,7 ",quesos,"Rico en grasas, calcio y vitaminas A y B, beneficioso para la salud ósea y la piel.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643117/sk4wcvqynqocreyf6cvp.jpg,
Cheddar ,"Queso de sabor fuerte y textura firme, utilizado en sándwiches y gratinados.",381,25,31,31,quesos,"Fuente rica en calcio y proteínas, ideal para la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643114/jk7xfnq2qqw2zzzndjym.jpg,
Edam ,"Queso semiduro, con un sabor suave y ligeramente dulce.",306,26,22,22,quesos,"Rico en calcio, mejora la salud dental y ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643111/vyoigk3sjpkr9gp8nnmg.jpg,
Emmental ,"Queso de pasta dura, con un sabor más intenso y con mayor curación.",404,"28,5 ",30.6,"30,6 ",quesos,"Ayuda en la salud cardiovascular, es rico en proteínas y calcio.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643108/alhqqhtjzjitfuxtylks.jpg,
Gruyère ,"Queso suizo de pasta dura y sabor suave, ideal para fondues y ensaladas.",393,29,30,30,quesos,"Mejora la salud ósea, es rico en calcio y proteínas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643105/iyulijpcvftxmapjtaqi.jpg,
Mozzarella ,"Queso de pasta hilada y sabor suave, ideal para pizzas y ensaladas.",245,"19,9 ",16.1,"16,1 ",quesos,"Contiene calcio, proteínas y antioxidantes, beneficioso para la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643102/xuwdq2nivyf8ht0gww68.jpg,
Parmesano ,"Queso duro de sabor fuerte, originario de Italia, utilizado en pastas y pizzas.",374,36,25.6,"25,6 ",quesos,"Rico en calcio, vitamina B12 y proteínas, ideal para la salud ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643099/z8hym37ncdeimtophgfk.jpg,
Queso de Oveja ,Queso de oveja con un sabor fuerte y textura firme.,380,"28,2 ",29.5,"29,5 ",quesos,"Fuente de proteínas y calcio, fortalece huesos y músculos.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643097/nksyogsihfc2tvjkvweb.jpg,
Requesón ,"Queso fresco de textura suave y sabor ligero, ideal para dietas bajas en grasa.",96,"13,6 ",4,4,quesos,"Bajo en grasas, ideal para dietas saludables y control de peso.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643094/q8x8bmloqiqkromb8hio.jpg,
Roquefort ,"Queso azul con sabor fuerte y salado, utilizado en ensaladas y salsas.",413,23,35,35,quesos,"Rico en vitamina A y calcio, ideal para la salud ocular y ósea.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643091/j9udjhgoifrf76qssy0d.jpg,
Chocolate ,"Producto dulce hecho a base de cacao, usado como golosina o ingrediente de repostería.",564,"8,9 ",37.9,"50,8 ",otros,"Rico en antioxidantes, mejora el rendimiento cognitivo y combate el envejecimiento.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643088/ooozh9fiyaei78wtqukb.jpg,
Miel  ,"Producto natural extraído de las abejas, utilizado como endulzante natural.",300,"0,6 ",0,80,otros,"Fuente natural de azúcar, proporciona energía rápida y beneficios para la digestión.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732643085/olh99gnjzkwctslvo6ek.jpg,
,,, ,,,,,,
